OBJECTID;ID_LOCAL;X;Y;Xbis;Ybis;C20_NIV8;F7;ARRO;QUA;IRIS;NUM;LET;TYP_VOIE;LIB_VOIE;C20_SIT;C20_CODACT;C20_LIBACT;C20_SURF;C20_CC_ID;C20_NOM_CC;CODE_PROTECTION;TYPE_PROTECTION;CODE_ZTI;NOM_ZTI
17787;83639;649496.287;6863851.7511;649503.446474893;6863848.18151749;3;null;8;31;751083103;140;null;RUE;FAUBOURG SAINT HONORE;R;CB104;Prêt-à-porter Femme;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6962;23834;649496.287;6863851.7511;649496.287;6863851.7511;3;null;8;31;751083103;140;null;RUE;FAUBOURG SAINT HONORE;R;CB105;Prêt-à-porter Homme;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6491;22429;649413.5969;6863858.8147;649413.5969;6863858.8147;3;null;8;30;751083004;2;V;PL;CHASSAIGNE GOYON;R;CE104;Kiosque à journaux;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6482;22412;649448.9649;6863847.2201;649445.417501744;6863849.06833311;3;null;8;30;751083004;111;null;RUE;FAUBOURG SAINT HONORE;R;CB301;Joaillerie;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6368;21849;649378.3927;6863845.676;649378.3927;6863849.676;3;null;8;30;751083004;71;null;AV;FRANKLIN D  ROOSEVELT;A;CC101;Pharmacie;1;0;null;0;null;0;null
6369;21858;649338.3009;6863866.5972;649342.270914203;6863867.0860632;3;null;8;30;751083004;6;null;RUE;COMMANDANT RIVIERE;R;CE202;Spécialiste d'un sport;1;0;null;0;null;0;null
6333;21725;649150.0455;6863987.7649;649153.150125869;6863990.28706142;3;null;8;30;751083005;39;null;RUE;BERRI;R;CC301;Opticien;1;0;null;0;null;0;null
6349;21780;649265.2085;6863996.2952;649265.2085;6863996.2952;3;null;8;30;751083006;172;null;RUE;FAUBOURG SAINT HONORE;R;CC202;Parfumerie - Produits de beauté;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6350;21781;649248.985;6864006.3872;649248.985;6864006.3872;3;null;8;30;751083006;174;null;RUE;FAUBOURG SAINT HONORE;R;CB107;Prêt-à-porter Mixte;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6352;21787;649230.1107;6864016.8735;649240.809426852;6864011.43868227;3;null;8;30;751083006;178;null;RUE;FAUBOURG SAINT HONORE;R;CE304;Vente de livres anciens - Autographes;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6351;21782;649248.985;6864006.3872;649252.399203411;6864004.30316184;3;null;8;30;751083006;174;null;RUE;FAUBOURG SAINT HONORE;R;CE302;Galerie d'art;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6353;21788;649230.1107;6864016.8735;649244.375669135;6864009.62707636;3;null;8;30;751083006;178;null;RUE;FAUBOURG SAINT HONORE;A;CD401;Antiquités;1;0;null;1;PCA;6;Champs Elysées-Montaigne
17796;83695;649083.7686;6864001.2957;649083.7686;6864001.2957;3;null;8;30;751083005;37;null;RUE;ARTOIS;R;CE203;Vente, réparation, location de vélos / vélos électriques;1;0;null;0;null;0;null
6317;21639;649074.7634;6864009.6352;649074.7634;6864009.6352;3;null;8;30;751083005;39;null;RUE;ARTOIS;R;CE201;Généraliste Sport;2;0;null;0;null;0;null
6376;21894;649208.0418;6864007.5886;649208.0418;6864007.5886;3;null;8;30;751083004;141;null;RUE;FAUBOURG SAINT HONORE;A;CD101;Vente de meubles et multispécialistes;1;0;null;1;PCA;6;Champs Elysées-Montaigne
6391;21943;649082.2556;6863915.8314;649082.2556;6863915.8314;3;null;8;30;751083004;26;null;RUE;BERRI;R;CB105;Prêt-à-porter Homme;1;0;null;0;null;0;null
6321;21665;649065.3209;6863919.6974;649068.413163294;6863922.23470324;3;null;8;30;751083005;29;null;RUE;BERRI;R;CE203;Vente, réparation, location de vélos / vélos électriques;1;0;null;0;null;0;null
6374;21888;649306.859;6863943.2399;649306.859;6863943.2399;3;null;8;30;751083004;131;null;RUE;FAUBOURG SAINT HONORE;A;CD103;Vente de meubles salon et chambre;1;0;null;1;PCA;6;Champs Elysées-Montaigne
